6.5,33.5
-9.5,51.5
1.5,-24.5
36.5,19.5
51.5,-47.5
-41.5,38.5
-6.5,39.5
-3.5,-23.5
21.5,-29.5
60.5,26.5
35.5,-0.5
-0.5,65.5
-88.5,-7.5
-10.5,-42.5
-81.5,-59.5
23.5,15.5
36.5,-78.5
-31.5,-34.5
-6.5,-30.5
-12.5,-74.5
88.5,29.5
21.5,22.5
90.5,-3.5
98.5,31.5
14.5,-98.5
-15.5,57.5
-45.5,63.5
76.5,-98.5
-55.5,31.5
-67.5,18.5
-61.5,11.5
-37.5,88.5
-18.5,-19.5
80.5,42.5
68.5,-75.5
-44.5,0.5
-6.5,40.5
-76.5,6.5
51.5,61.5
8.5,45.5
79.5,31.5
-57.5,-53.5
36.5,-6.5
-21.5,39.5
32.5,-93.5
27.5,3.5
-33.5,29.5
98.5,16.5
40.5,-77.5
-78.5,35.5
-14.5,-21.5
35.5,16.5
-56.5,-48.5
-52.5,47.5
19.5,-28.5
-3.5,-64.5
-1.5,-86.5
84.5,13.5
-51.5,4.5
9.5,-3.5
71.5,-50.5
-8.5,55.5
33.5,26.5
5.5,-19.5
-2.5,-78.5
98.5,25.5
43.5,24.5
30.5,-3.5
2.5,67.5
-26.5,-13.5
31.5,32.5
-87.5,-21.5
-53.5,12.5
-35.5,-22.5
-5.5,92.5
24.5,93.5
94.5,68.5
26.5,89.5
23.5,-8.5
-44.5,34.5
18.5,-38.5
31.5,13.5
17.5,-4.5
70.5,16.5
-80.5,-46.5
-67.5,66.5
73.5,-90.5
-9.5,-19.5
-44.5,2.5
